User Type,Previous Page Path,Landing Page,Pageviews,Time on Page
NV,*,/,1,10
RV,*,/,1,11
NV,*,/,1,11
RV,*,/,1,23
NV,*,/,1,7
NV,*,/,1,7
NV,*,/,1,28
NV,*,/,7,198
RV,*,/,1,7
RV,*,/,3,29
RV,*,/,1,7
NV,*,/,1,19
NV,*,/,3,25
NV,*,/,1,6
NV,*,/,4,56
RV,*,/,1,11
NV,*,/,1,198
RV,*,/,1,5
NV,*,/,2,77
RV,*,/,1,8
NV,*,/,2,23
NV,*,/,1,15
NV,*,/,1,15
RV,*,/,1,7
NV,*,/,1,82
RV,*,/,2,26
RV,*,/,1,10
NV,*,/,1,6
NV,*,/,1,20
NV,*,/,1,13
NV,*,/,1,95
NV,*,/,1,7
NV,*,/,2,32
RV,*,/,2,14
RV,*,/,1,9
RV,*,/,1,11
RV,*,/,1,35
NV,*,/,2,17
NV,*,/,4,157
RV,*,/,1,15
RV,*,/,2,16
NV,*,/,2,35
RV,*,/,1,8
NV,*,/,1,30
RV,*,/,1,24
NV,*,/,1,34
RV,*,/,1,29
NV,*,/,1,48
NV,*,/,3,55
NV,*,/,1,17
NV,*,/,1,31
NV,*,/,1,25
NV,*,/,1,8
NV,*,/,3,205
NV,*,/,1,14
NV,*,/,1,37
RV,*,/,1,9
NV,*,/,1,12
RV,*,/,1,12
NV,*,/,1,8
NV,*,/,1,8
RV,*,/,1,355
RV,*,/,1,9
NV,*,/,1,6
NV,*,/,1,7
RV,*,/,1,12
NV,*,/,1,21
NV,*,/,7,403
RV,*,/,1,19
RV,*,/,1,13
RV,*,/,4,50
NV,*,/,2,25
NV,*,/,12,258
RV,*,/,4,146
NV,*,/,2,78
RV,*,/,4,28
NV,*,/,1,9
NV,*,/,1,7
RV,*,/,1,15
RV,*,/,1,3
RV,*,/,1,19
NV,*,/,1,39
RV,*,/,1,7
NV,*,/,1,38
NV,*,/,1,9
NV,*,/,1,232
NV,*,/,5,47
RV,*,/,3,31
RV,*,/,1,6
RV,*,/,1,9
RV,*,/,1,9
RV,*,/,1,8
RV,*,/,1,20
NV,*,/,1,7
NV,*,/,1,9
NV,*,/,3,164
NV,*,/,1,17
NV,*,/,1,28
RV,*,/,1,10
NV,*,/,1,11
RV,*,/,1,39
NV,*,/,1,16
NV,*,/,1,25
NV,*,/,1,8
NV,*,/,1,40
RV,*,/,1,6
NV,*,/,1,7
NV,*,/,1,13
RV,*,/,1,14
NV,*,/,1,25
RV,*,/,1,8
NV,*,/,1,12
NV,*,/,1,8
NV,*,/,1,21
NV,*,/,1,5
NV,*,/,1,14
NV,*,/,3,48
NV,*,/,1,194
NV,*,/,1,17
NV,*,/,1,10
NV,*,/,1,16
NV,*,/,1,10
NV,*,/,1,22
RV,*,/,1,9
RV,*,/,1,9
NV,*,/,1,14
NV,*,/,1,15
NV,*,/,1,14
RV,*,/,1,7
NV,*,/,1,112
NV,*,/,1,7
NV,*,/,1,11
NV,*,/,1,56
NV,*,/,1,64
NV,*,/,1,13
NV,*,/,1,8
NV,*,/,1,6
RV,*,/,1,19
RV,*,/,1,9
NV,*,/,1,7
NV,*,/,1,28
RV,*,/,1,15
NV,*,/,1,13
NV,*,/,1,31
NV,*,/,3,68
NV,*,/,1,15
NV,*,/,12,134
NV,*,/,1,8
NV,*,/,1,14
NV,*,/,1,4
NV,*,/,1,30
NV,*,/,1,8
NV,*,/,1,28
NV,*,/,1,10
RV,*,/,1,24
NV,*,/,1,50
NV,*,/,1,17
RV,*,/,1,5
NV,*,/,1,12
NV,*,/,1,12
NV,*,/,1,22
NV,*,/,1,10
NV,*,/,1,14
NV,*,/,1,1102
RV,*,/,1,10
NV,*,/,1,14
NV,*,/,1,23
NV,*,/,1,9
NV,*,/,1,10
NV,*,/,1,16
NV,*,/,1,33
NV,*,/,2,42
NV,*,/,1,26
NV,*,/,1,49
NV,*,/,2,209
RV,*,/,1,43
NV,*,/,1,48
NV,*,/,1,89
NV,*,/,1,106
NV,*,/,1,30
NV,*,/,2,33
RV,*,/,1,71
RV,*,/,2,453
RV,*,/,1,21
NV,*,/,1,18
NV,*,/,1,21
NV,*,/,1,21
NV,*,/,1,16
NV,*,/,1,22
NV,*,/,7,183
RV,*,/,3,67
NV,*,/,1,53
NV,*,/,2,46
NV,*,/,1,7
NV,*,/,1,11
NV,*,/,1,27
NV,*,/,1,21
NV,*,/,3,78
RV,*,/,1,29
RV,*,/,2,44
NV,*,/,1,49
NV,*,/,1,45
RV,*,/,1,47
NV,*,/,2,155
RV,*,/,1,58
NV,*,/,1,13
NV,*,/,1,117
RV,*,/,1,52
NV,*,/,1,46
NV,*,/,2,47
RV,*,/,1,155
NV,*,/,1,48
NV,*,/,1,54
RV,*,/,1,14
NV,*,/,1,58
RV,*,/,1,26
NV,*,/,1,176
NV,*,/,1,21
NV,*,/,2,112
NV,*,/,18,947
RV,*,/,12,300
NV,*,/,1,18
RV,*,/,2,122
NV,*,/,1,41
NV,*,/,2,29
RV,*,/,1,34
NV,*,/,2,50
RV,*,/,1,27
RV,*,/,1,41
NV,*,/,1,35
NV,*,/,1,105
NV,*,/,1,17
RV,*,/,1,4
NV,*,/,1,13
NV,*,/,1,13
NV,*,/,7,223
NV,*,/,42,4184
NV,*,/,3,552
RV,*,/,2,56
RV,*,/,18,2058
NV,*,/,3,419
NV,*,/,1,42
NV,*,/,1,26
NV,*,/,5,879
NV,*,/,1,58
NV,*,/,2,416
NV,*,/,1,23
RV,*,/,1,17
NV,*,/,1,1
NV,*,/,1,261
NV,*,/,1,11
NV,*,/,5,642
NV,*,/,1,34
RV,*,/,1,191
NV,*,/,1,8
RV,*,/,1,43
NV,*,/,1,21
NV,*,/,1,380
NV,*,/,1,35
NV,*,/,1,92
RV,*,/,1,31
NV,*,/,1,45
NV,*,/,1,8
RV,*,/,1,10
NV,*,/,1,26
NV,*,/,1,1
NV,*,/,1,31
NV,*,/,1,20
NV,*,/,1,12
NV,*,/,1,688
NV,*,/,1,142
NV,*,/,1,48
NV,*,/,1,17
RV,*,/,1,30
NV,*,/,1,78
NV,*,/,1,27
RV,*,/,1,32
NV,*,/,1,292
NV,*,/,2,87
NV,*,/,1,26
RV,*,/,1,63
NV,*,/,6,885
NV,*,/,1,54
NV,*,/,14,1651
NV,*,/,1,62
RV,*,/,3,788
NV,*,/,1,64
NV,*,/,1,11
RV,*,/,1,9
NV,*,/,1,88
NV,*,/,1,454
RV,*,/,1,85
NV,*,/,1,35
RV,*,/,1,99
NV,*,/,1,40
RV,*,/,1,190
RV,*,/,1,13
NV,*,/,1,27
RV,*,/,2,1024
NV,*,/,1,32
NV,*,/,2,55
NV,*,/,1,24
NV,*,/,14,744
RV,*,/,6,123
NV,*,/,2,51
RV,*,/,1,9
NV,*,/,6,121
NV,*,/,1,22
NV,*,/,1,29
NV,*,/,1,41
RV,*,/,1,103
NV,*,/,1,66
NV,*,/,2,57
NV,*,/,4,86
RV,*,/,3,54
NV,*,/,2,109
NV,*,/,1,29
NV,*,/,9,515
NV,*,/,1,147
NV,*,/,43,4164
NV,*,/,2,37
RV,*,/,2,27
RV,*,/,18,1740
RV,*,/,3,39
NV,*,/,1,4
NV,*,/,4,545
NV,*,/,1,22
NV,*,/,3,77
RV,*,/,1,25
NV,*,/,1,87
NV,*,/,1,13
NV,*,/,1,28
