User Type,Previous Page Path,Landing Page,Pageviews,Time on Page
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0MUoSpK3TjrqTajzwxbtpWv6I3n3fLAy1zPE0eZhi7TWj0IaxNNJ_b9ro,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0MVj3MAJSnfYNP-qm1vQwu85eEkG3tyAARKegHNOanQk1RgMuoY3YovLE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0MVu_QDscjTaINqiMH2omO0UEPfBjsoVJIclFgVAcbWWLGaWPmy2TIgmw,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0N9KSCl8549eUxqn4f9g5VpeFR2or_q9gq4yJlj9d49LNmdUiQmHoENyU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0N9KSCl8549eUxqn4f9g5VpeFR2or_q9gq4yJlj9d49LNmdUiQmHoENyU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0nadxDmIHij5wogVRogesLsi-YmGWmFvsQzUKXTC2y4pCq7MVAOQ5uLvw,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0nIc-6HcI1NRySx-Gazzr60s3ZNDtEFMLUNE4pHEHWInrp5q37_OJ9aZo,1,30
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0nn70X202X-h4ONx3Oya7ZljKJET3iJ1Alh_vTY4wuZ_rtrfPa9-GI0yY,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0npKArVBdvCicD4u828q0jeV4wo3bqDfNA-s_aAlGXjiImqSH2oyXJd7Q,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0npvzqtCZiQfBdZRJGPMm49u043pDEJ6jFEyHAwtZaQuvtwgOiinyqFEk,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0nrmNHz_LFhr7ZL_N9h8K9qANWTZesLb4Va9kvwVRFg9DSnrNwFFakvT4,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0nwdzYewzStr176eMImfIqeVRbytFzMi6byFmlGIfGcxXfLbRZGZ95ZbY,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0Ny3tgiFXcGaWjgXy4LKUOWEopWrtYplnTy-oA0dQDGZntKxO9xyGNEhk,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0ny8g7aTCOvdS375bPIyUO8oZKB1TSgPa0V4v7CODUflRQwbWj3xtNnYQ,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0nyTXABPKfXyzCWjJnyctfI8nE6LXWlYI3yK4uh5eBjFMcY_pm9Pt0iOo,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0NzS4GsqbYtk0zX2puLJSSrQI8tzDl1MOI_uBHYJUfGNIypWJF5o96Whs,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0NZSIS9UCnFWYknvPe1LRPjM_SwOkmmHG0kKs9se3tQvLc4wWkMyQy0L4,1,84
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0O-vnNDihfu708j44AspPJ91Oou2EW6eBDlQKW54hR7S4zGQ6FVIVFlR0,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0o2v-x9tv9_tdDVREBWNpXhKjXh4bleWEYnQiatGI57I_YVSma5LT3V00,1,1
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0o3CccuuFdB0utO0AwEYxaG9WrwvJn9_46OgloTJmN-cmjHkCfTNkQseY,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0O4Rv6HjEkU2Yvu3areQ2XchQ9_YYg5_nioiqSk54msrgNCkFw3li5RLA,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0oA2GvcODNQjFjgCeDbJ0yPqMKWKUSKTR6Dof7uJ-rkx0asvjZkNUOWwg,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0oagwI6-4mFCai9VaiuPB59pKF1h3tRhGezXPnFrLJ-3IkFzBPajD_MiE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0oF1yHLFGvTAMDIB9Rijr3PvfQjEIKayPyGObr98C-uGAVDaKegQgL7hk,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0oFDB3ZBtY6Co9awKYU5ow3Md362yWhyrN8UzKpzgA_pqDEFCm1ULvkUw,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0omxgr8nszsDcBv-SdfeCvsR_o_pt-4RRbmGsniru0lqlirIcLjx00iwI,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0On7gvArlmt83IG20PzxdpWVrsHTwAC1vkc1RN33XSaRNvWh7GF6T5ybo,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0OsP6eemYdFS1zYnUIvlvg-1gy7D12pIulEZkdr99ySPCBmUA3D6dPWXc,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0oWIW0lGwhE8RJYoS9ancjjUv747zAenvU9IuICx5eAHc_wHS8Ebj9lno,1,5
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0OYZrwMJ_JwaX0Q9ItXh3QgkWpTcpTYx3kibDGavWFeIeILl-IS0g_C-E,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0P0dRXkrtKTu5SCTPs5sQ0m3eiFO3YSIbdUTvjmc4Q2MtjpGX94DOCCok,2,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0P0XsYM1VXO_-wJRL4YMjcg6g0tRETv-Rpzf5-8LLafqzzUU2naGGvBnE,1,60
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0pd7VImaQRBoLmHUrdSxMdr1IBf3nY5z-0rMo2ilcHWj7wURMXEbGgPu0,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0PIeL67eTGN17x3uy57dEbLpwNBLA-OmDp4hN6Ae4gqIQQcz2sCDOOqL8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0PJrqtP0OqUAZfR-RbfFd8UubwJj48QZB0gy2DMg6pooLEzSkBpn1Mhqk,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0pjSdqnS8NnrxNA8ROq12uYpwjDMZ24z-AfYJLg-nSSjDanrZDXQHl7nU,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0PnFJGDYzMKwAWjpwIgx3eS1mD7xALaBLEULOc5tw73udFDgwqIV5H0Po,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0PYLK_oCid_vRpmyGY6HyY9tdKkc-3l9lb4qUrhQVq1EfDdDw_ikY5vc8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0qg9IRtTBxYTeyzEajFk02e2qJ58FlAOY1ioccUysINFjS0LGWh_paStU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0qhdJXKd-8Sgjh3bIawhN47cfsGRPAVAr5mO53Eh2OT8MvhD54zo527N0,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0QLsAQfSeR0VpPMI7xvnoeG2L_obBjUSKvCH7ZIEOh8Ypv-li9pwt7asA,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0QNZh4DYvkl86htc9FW9hZEkB97wP1l9oBnw6kqO7ga4TNHjC9YD1sVO4,1,81
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0qrFUzzuDJNfXVTYHAv9cS4dl_Y2bYgxgxxapzY-1IMOqfpYxwg4K-cJ8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0QSB68rOL8p5R_NG8WYIVxgYjKxdvMpmuO19-cTO9_u6qnhL7YgAki0sM,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0qxpJut0WUoeFHUxFfqmMBv-XhnVuZ8J4MJrYfoz63GtgYlzc-8TWNyuU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0r1ZhgvXexPxrv7NJy95JhCD9aF-5ZD4kfcKx1FUNFTaopIuQJzDNBMGg,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0r4XVgCCmBNblvxmDJrNI-gP78n1CSRJxoFun2-IvcWuK0Rm9zAg5qQ5o,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0r8AmTk-ODKUHyk18eg8ZrOq27EwQcbggT_LAOyvyMFPgL3cVTqYsnjZY,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0RBO7Uxo45hiDxVyi2QLOAtGPhUL5G8bOpfGkPEk6Ok2zU2YyJbWr1KZM,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0RBvCx-RHC2j96BJust4yqcDBFhOUXBHzSFR5htzLFcyltol53X4PV-Dw,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0rCl5C8y5EW2nLoNlVp6gMEuXDO63vSwOcOlRXZrACBdUnGeAE2oqoP1Q,1,19
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0RjDxMhYrW4B5jlBaV5vrKcJ-_Pu6JI3oABpUTX3c_-7ztSK0oSXGYHgs,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0rKFjwtk3EPMeMvOhzYNasu-JMLuoYS1KdvpNHoE_ymjjGdGk_YR4ytmA,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0rLqpAYfb__GgUaPqAYDIu-aiBFR5WVwKD9AlgwuAGtdB1OK5LwuoCCRY,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0ro0uKmH7Fsh6lXeiU8fcjdSxIwuYkSzsMH9_h9xqaHEC0DgXZBq1g36A,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0RP5oh4n7ftOYjQn7iYY6PhSXG2eVYoJCZzflfAj43qIB7SGQrtgRRY5Q,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0RQUAYPGFL6nBwzBb1Zgyz63opGdicJ1lZePdzPEoKTEzmvXtH5qmS_QM,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0RxhBpCd37mo6dIa9LodrJNCfQCeNa1EsjaNSmHFDMkQqaqCBhLh0kiTs,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0Ry390WFcaWzGl6KQ6FEGMYcTer8AJS8XRhoONykf-nVphGcrDzCvUmME,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0S_nnfN5tZt3SzTaQS1fMbhfzwkHFi5hHE_4bku_VzHcCzcWojRoTmIZU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0s0Pt5DqTjy3ndGcQhTdoIescdzgaNX_XfH7Bu6jwA15wWgYZkUl_jixs,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0S2LDQ5Jpy_niS7o1YPz3ARl6mjeq1rWGSe4VXE5xnv2DEK5hIpwRKvZk,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0s9H6DIOJg6KTmkfdyrnKj2IRwIBQbQGWUQRWE7yRjkINtBsVryq6ll_g,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0Shl9oMdV_ot9H7GrXyLh8SfNnt5L3CUqZjDs5kV4Pc_yPPOIwafS-O48,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0skFsVOWM2XUVSrAjLjXIrzERr_13MPnvqPJRRfEYW40p7_sFoKxUl4xM,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0sq262JeLWg80mtejP5UeFSNViW86uMI65awC2pX27bV2HXytLHmUNmzw,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0sqAZna2bPiiUf1OgPukZscpVxfhudi780G09FQtD0Ll7I5eRp5CV_lWA,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0sqAZna2bPiiUf1OgPukZscpVxfhudi780G09FQtD0Ll7I5eRp5CV_lWA,1,2
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0SqNPLiCAe6XDxk3gQgRX3c-Xl6Biie4d4ASvaNwjmNTrSwog_VRLHs8M,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0SvUeylOH0P4QUtEqvbZ_Z1U_QTun0Wg0sbzw5yi5nWNehCKliPlkeLHk,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0SWQ9cKMSw3CY9ew6jfHW9fGKf1Efg03uVZvlaSLZiVlTgZlU_YgpopJY,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0sWS2FWxqetsWnQuWYxGOgKj8J_7n6SrZhV1-tnA05k7SUXRRuCkkOIcc,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0sXHT5I02rhh21WK2-jFIG8uLyS42ZHxF55fYfC3FC0rhTTDW9VLwbiLE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0syaOcDhCmt_M3cbyXBa2Dstudmq8K-gvmgei9qsBQd_5b_cmMA1vbfE8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0T1AQlwZ9MG48I2bI3QsIJAF0QnLw5S727h5eC1Sv0u-rlhGmZKZv1770,1,10
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0T6aNcq2l9iHVCelxGQNYX81tSTsaqummkGZ8UAGwaNVD70Uh2HJJItKE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0t74eYxmcR9Ru-4HZM1omNNPglBBdPZ93Paptk5Ixs9iDkkMIoZ1GZf-M,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0taX_UyUNpQsgt3qeIMbJvvnzeAxc3hYNjCBRMRdqii-v12QZhLGlbxNY,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0tcBajYSESZtkK_njYE5I0sTLOZT73FNs03VB7kFgtkJ2JOciqeG4tQe0,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0TcbS-Da5G6fiCsmC-m9M8S5u42xD0VAS5oyFjuZByeqharMkUpy8ndpE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0teswdkCEd4Ceh5EVQUd8KqW_9yNKGF7R2IsbdpAOt1DD7iqOquLVXmFc,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0TI4BdJ5q2rXD0geq-Qi3sNGQZcyJB2jxk4vH-So7qhNLi8a2oAnJyeGQ,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0Tki35uElwkWwXt-fyTf93D_JRs_HRL19oAt4dx5j-6pOu6aH7g9a8dMc,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0TnGSD4i6pk0JEE-d6H5z-YI5kOleZpyHj8rUZAMr1y0Hck26q2JPIvmc,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0TPqpRz1hlTvO1b7qvtaaCYN5r02Nsmb-PijocmIA3nVSOEbQakZgYClo,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0tTj4Mrr_U_b6dU0bH_U2OrEm9o3M_2E6EYtxJ_oelIwAiDMwLrF0zdAo,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0u2hwbH-r_ey39nkiSg9cap9BcnD645x1vEbT3_0EMU-N16sU1VoH68nU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0u2WlVCx1K8w5wZyAEyCQJi_5xeStyVUtk1TvIa1y6hZzlpLYnFIFrRYU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0u3QMGoEfOIKH6bCJ0psTCeUUYc7Owqsqq44MZX1Wi4ihYix-d2NL_7RU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0uCChOBZMnImxec-WdO8MjmZNSHXTzEBPVs9pA5xfnSqoS3SJxhuSb4Vk,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0UDKl8tI7TYkdnFKlkfcuxcfyuULqT9KNgLRnkiwMno11_8dZC59miK4o,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0uEoHQe2En2L82MpWBckVYpfrGU3TILh5ijnnrn0Hmm_INcKAd-Ie9tF8,1,2
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0UiIgPnKHuN84OSS--ZGANvWZmwiLF_RpmGTMV2IGhExwGG_I8srtYRnA,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0UPuQSedclLclCjVBaBR1Hbb_Ru1UvWg6-G5qXYp_66iHQjgMrQHOwye4,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0UpvhvVVR0jSBUFKpiXuwjHyJsJxl5IXt3ClwNDLp4OXS64l6AEw26G9E,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0UTDkobA6J9ZttazcGWOKCy7s2nQ1RmgzTcJuh4CwltNnPsSk-LNUPWmg,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0UTrztWhVySbVEtnS9SHh_JwWUbvblRK9dSIXmlhgyLuQjPGokxp2-Bg8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0UTrztWhVySbVEtnS9SHh_JwWUbvblRK9dSIXmlhgyLuQjPGokxp2-Bg8,1,26
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0uY1VG6vUvPU6_FN_k9YQzaCf-8sM1SvlnyJEeaU3lHrHm6N_OQwsYJoQ,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0VBH9ma5m-iq9e3fTQ9iRj8EpVnhpyO0RKTwsdRbQW0H2TrPRNZVOfSkA,2,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0VBH9ma5m-iq9e3fTQ9iRj8EpVnhpyO0RKTwsdRbQW0H2TrPRNZVOfSkA,1,102
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0VhIPQj0Vi51PY3zTqcWJvAE-U9ti2XFT2R32uYUVbPKgpk0LSuH6e_x8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0VnQctR6cfDIOKx74aanZZJGuQ41cezYpDva1VaPob5on_AbQTu0C6dkQ,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0VPNFBPXztVJrXVtVyyjWkSW3ICMUtLmaqvi0M0qpkzyikY-YmsfQ0TCo,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0VPNFBPXztVJrXVtVyyjWkSW3ICMUtLmaqvi0M0qpkzyikY-YmsfQ0TCo,1,62
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0Vr42bsGMb96oQxIW6h8gE-DHWT1DT2WFrKg8mhD7-2CM98PK0Z2hQh60,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0WAKbO4iNk4N_vg-KzDyTzsWEaAf3itGSA5VJwMXSyouorwv9ekDKN4WU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0wAWDojq81fsz3AuGYSomasE5KWQzs7M6CcFED1LIfr5_d_UkD7S_wK68,1,27
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0wB0HlN1oxt-oJ4cjdY61_LE4i-Oa3B1LDH-PnZpT9eCj3bu-2oP1ukkw,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0wBJGCDvF6d5sE2VE9e1dg__EwFH0D0cRBmmxXcs0TuqYsn3dw42h7ykQ,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0wc5lEK-2B90LlgFfio5CVtLRqp1LzAZGeKmbxukkI6Dv10LWgmlS9iAc,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0weOEp86I4HvfQZCpv2rSvGzrvq6BJVtt7Ky9QPodlaXF5S8w8RdNsJjc,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0wexwHGlmDcgIZruMiy2MO1zD9l3EwMURlE2RUV5jMmOINJNC0P-D1VPE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0WFwnl4uk_sR81HSjnOqqqKfEePyFYypRhOgv_oVbiqqh0LDxYGW-Uehw,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0whiY6y7KZvKbGleRMAWnMjCntW6IBCkqVOOKZD-YyKxlBqtDGB1WzEsA,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0WjdbVqdUO1yItPlHlP7XwT4gz1NiVx9azEx--vsYlBDY9J8o6FydeFqU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0WKEfyvB8UHA_9GE2N6RH3hHO7TwLam6wfyt2PwvohT2vJyMeSebbEDis,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0wMbtapl8BVAXT0JeG-Fbj6PUDUKujAtezkzC_2I8NXle706ac3fWa-Lc,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0wN9LFtXfU0bRr8N9XRhxtziwfYMywwGSzK6nBrIRQhyjbTKDQIw9EDuE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0wRDFsPIzVz25qQjn3mEpMHJMYNv9i6Hjps5DoK_x47o86GuO7kAD0ZYE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0WrLsu4QA1BcV-FAckVlLwtTUFc5mubLDohw-YvZdwFzNGogDuSVvJQLI,1,16
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0x3-WRqA-q4PbqyPXtpchAwHw24QxxQwAOwJU_PFuo5WioO3Hk4fhJeEo,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0X3nMGBtgAD5OD8BKS9Uqb2uFY0LBvR3-IXynsLvvRK7EKdI7y99sxKJM,1,0
RV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0X5hXX45F6jWGdxenvdtmpgtrk7nQ67DQO8zbqsnQKBG5UeXmOZZ7py3o,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0XCcQ-_oa4r0nHJfoX0T4A4iya5zvPZ4ZC8PKoDfnLzM_fP1-btSGZKxI,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0xdzYBhj_FwSo6AAalqlrwynewH6iTCNHXXL1CnyF-BT3J9xQgXLkeQoM,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0Xh7Rdn5y54Rnb-nU9lHVOtx-EFbjH5FGfoAGCCMQ24cy4AKgmV2Vepkk,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0XIb_YFT21gDIFNiBZcj1-3F8cqMHEA4Usd3uY0E6BeFqyU31jC_R2tG8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0xIYsnOOtbNHboJaA9Dq-LUH3hdckAilNl3hTxUyUH3kJfeCiSUPWx0eo,1,244
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0XnZMO0avMNQn0fNfOlPoVbxXLnYFYvQudGiWGnvT9KxtuJrq1ldMigy0,2,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0xuLzeibWfx7kAaPljsQz7TqT_npRnUnfKTD0JAe__ZqQM-YmhYrid9iY,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0xUxmT9thDZhJa22KYgwoJqWSSe9vVQfzR4q3Kmv63wwz2ji4OCJ3Vji8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0xX8DKVAZKL8_RZEnrHZsY373XSoHOTDC_WOy5yxPJ_gDovpgYUOHOQBo,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0XZux8HJoExuGhP6FwBMHqtYiVZRZtqG-PMeEdrl7QIZ-r6BRtKrxRuiU,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0y-TR9UZJaB7TbYqsu6Gn8-9c23lDolHRqCtwlPw-DCkCfHf0Rl38aeGA,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0yC1sGXx-Iv1s3K498mz9jjRltV7oPOPkn2jn5EUFZGMl0qDELW2yKGmc,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0YDKu6FnDuRKoH6D15_re9eEpQzUrKnZcsvl9xJZyX2bcxNuf7eO7LENE,1,28
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0yGJkO3OEvvkIJiImgGspb6T1wQBZtxHDeFI4VHD9Hlu93DCK3ltVK6N0,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0YGSZFdmHuBJVh2SXHMzPhKB-whi1vSNGd_dG9bww5b86Er2EBYYCgt48,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0yiSoo8j63aUy2R4lYqlbuh7PMcOB3TbqQxhly4tZLUmSUGy1RI5GMh7A,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0yiSoo8j63aUy2R4lYqlbuh7PMcOB3TbqQxhly4tZLUmSUGy1RI5GMh7A,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0yL9aEavzEmHyphk0bfmxuFAl0Z2o27y41vUaogHpMQhqv1mnf7wrNszE,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0YsijLTmWWTM-UYzutIEp5MY69X40DDmMdj1ufecaCDh9ojTx914p7VwI,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0ytxQdrYNc3euWvc81whBPoL0eI0OPqL-9bVCUbm9dsoKjzrkcPCT4y4w,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0yYC4kcQZ5d3kaahryNMjhgcskezRcTb7J1GXwNUk7Q7rMHM76AwHD4Xg,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0z05alzJEOA3vgb196yv-Vxbo-kVE_40wpFuaisIrQ0E9M2EdNN8wz5r8,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0Z12qOKIM_9WGii-Prtgp6U8z0MxHCf_CDHranQ4QHdYYLF_GAxpiItIo,1,6
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0z3ckMHAbqSBLwQ17Db-MshH3ySvfNbLUgPosSF3-P0-k7jlrqMykIA3w,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0z5LgLcnfvUUBSMqfKDD_i_3y31SXsmJkCjRgOZzCLLW-5NJFyLOo5XD0,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0Z68S3Ty8iQ7JYANT60S4aou_2RBc601CLPkkgNO4YAhuQqOLSuO2vxuo,1,0
NV,*,/columbia-business-school/cbs-enquiry/?fbclid=IwAR0zhCzaJawRveLtkqQz_OkB2bJZ9aeJRWCrlWyWms8jt61H_jQwTZMyXZ4,1,0
